id,screen_name,lang,followers_count_log,friends_count_log,statuses_count_log,favourites_count_log,listed_count_log
251331681,creative_byte,en,2.481442628502305,2.4082399653118496,3.732715340349993,2.681241237375587,1.7403626894942439
253013305,Rocio_Guerrero_,en,2.7101173651118162,2.7551122663950713,3.294466226161593,2.0644579892269186,1.5185139398778875
253505508,angelrubenyui,es,2.591064607026499,2.9523080096621253,3.210853365314893,2.56702636615906,1.9444826721501687
254908305,JoshCaplan1984,en,2.6473829701146196,1.9395192526186185,2.7450747915820575,2.515873843711679,1.9395192526186185
256626234,SQLjen,en,3.1728946977521764,2.656098202012832,3.03342375548695,2.6201360549737576,2.037426497940624
256932405,IldeMas,es,2.0863598306747484,2.0253058652647704,2.1986570869544226,0.47712125471966244,0.7781512503836436
2582930016,yandcu,es,1.2787536009528289,1.8260748027008264,1.255272505103306,0.8450980400142568,0
2585289590,calltospeakers,en,3.4148062795010126,0.47712125471966244,3.153814864344529,1.146128035678238,2.0492180226701815
258982732,dawnconne,en,1.3424226808222062,1.4913616938342726,1,0.6989700043360189,0
2597563076,ForOfffo,es,2.3654879848909,2.315970345456918,2.2095150145426308,2.0863598306747484,1.0791812460476249
25979479,regbac,en,2.832508912706236,2.5658478186735176,3.7041505168397992,2.932980821923198,1.7481880270062005
2598162997,TextMining_r,en,4.300812794118117,3.7351995484223135,2.8603380065709936,4.439000924079503,2.7481880270062002
26008317,JavTH,es,2.3909351071033793,2.161368002234975,3.156851901070011,1.1139433523068367,1.4313637641589874
260163476,spaghettidba,it,2.941511432634403,2.932980821923198,4.147119576021965,2.9786369483844743,1.9444826721501687
26074694,mssqltips,en,4.162803292382674,3.7640266076920375,4.198519630241168,2.690196080028514,2.66838591669
2645332668,LonBizAnalytics,en-gb,2.5224442335063197,3.130976691605617,2.1931245983544616,1.255272505103306,1.255272505103306
26713927,enriquecatala,es,2.737987326333431,2.285557309007774,3.471731651480051,2.2648178230095364,1.6812412373755872
271160874,jsanchezdiaz,es,1.6901960800285136,1.7558748556724915,0.9542425094393249,0,0.47712125471966244
27330241,rquintino,en,3.273695587930092,3.6232492903979003,3.8890214220952246,3.5171958979499744,2.558708570533166
275464365,sandro_asp,en,3.070037866607755,2.578639209968072,4.01262635095405,3.1367205671564067,2.1398790864012365
275476349,AlejoSQL,en,2.4608978427565478,2.1072099696478683,2.765668554759014,2.130333768495006,1.6989700043360187
275476594,apalmerop,es,1.3010299956639813,1.3222192947339193,0.6020599913279624,0,0.3010299956639812
275477913,VBernalP,es,1.146128035678238,1.2787536009528289,0.47712125471966244,0,0
275686563,verge,en,6.158663980813989,2.184691430817599,5.00902574208691,3.137670537236755,4.495433321573987
276587835,dachibox,es,3.16790781000148,2.7041505168397992,3.6055205234374688,2.7505083948513462,1.9030899869919435
27898866,hreichman,en,1.5314789170422551,1.9138138523837167,1.3010299956639813,0,0.47712125471966244
